SSID,MAC,RSSI,Time,Location
25267,iptime,70:5d:cc:60:cd:b0,-66,2025-04-24 16:50:27,hall_6141_1_10
25268,,e4:55:a8:6e:51:f5,-66,2025-04-24 16:50:27,hall_6141_1_10
25269,DGU-WIFI,26:3f:1b:e2:65:b6,-67,2025-04-24 16:50:27,hall_6141_1_10
25270,DGU-IoT,22:3f:1b:e2:65:b6,-67,2025-04-24 16:50:27,hall_6141_1_10
25271,eduroam,36:3f:1b:e2:65:b6,-67,2025-04-24 16:50:27,hall_6141_1_10
25272,,12:3f:0b:e2:65:b0,-67,2025-04-24 16:50:27,hall_6141_1_10
25273,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-67,2025-04-24 16:50:27,hall_6141_1_10
25274,,2e:3f:1b:e2:65:b6,-67,2025-04-24 16:50:27,hall_6141_1_10
25275,,12:3f:1b:e2:65:b6,-67,2025-04-24 16:50:27,hall_6141_1_10
25276,CILab_2G,8a:36:6c:cd:f1:80,-67,2025-04-24 16:50:27,hall_6141_1_10
25277,ktw,58:86:94:7e:ea:78,-67,2025-04-24 16:50:27,hall_6141_1_10
25278,cpc8134,5a:86:94:4e:dc:10,-68,2025-04-24 16:50:27,hall_6141_1_10
25279,,da:55:a8:6e:51:f5,-68,2025-04-24 16:50:27,hall_6141_1_10
25280,,b2:ee:52:de:60:ed,-68,2025-04-24 16:50:27,hall_6141_1_10
25281,CSE-3182_2.4G,28:ee:52:de:60:eb,-69,2025-04-24 16:50:27,hall_6141_1_10
25282,10131_2.4G,90:9f:33:28:ca:9a,-69,2025-04-24 16:50:27,hall_6141_1_10
25283,DGU-IoT,22:3f:0b:e2:65:9a,-69,2025-04-24 16:50:27,hall_6141_1_10
25284,NEL,00:11:32:ce:8f:0f,-69,2025-04-24 16:50:27,hall_6141_1_10
25285,DGU-WIFI,26:3f:0b:e2:65:9a,-70,2025-04-24 16:50:27,hall_6141_1_10
25286,eduroam,fe:55:a8:6e:61:a9,-70,2025-04-24 16:50:27,hall_6141_1_10
25287,DGU-WIFI,ee:55:a8:6e:52:ac,-70,2025-04-24 16:50:27,hall_6141_1_10
