                                                                                                         
[Epoch 122] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 123] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 124] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 125] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 126] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 127] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 128] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 129] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 130] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 131] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 132] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 133] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 134] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 135] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 136] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 137] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 138] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 139] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 140] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 141] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 142] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 143] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 144] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 145] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 146] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 147] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 148] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 149] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 150] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 151] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 152] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 153] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 154] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 155] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 156] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 157] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 158] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 159] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 160] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 161] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 162] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 163] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 164] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 165] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 166] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 167] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 168] Train Acc: 0.77% | Val Acc: 0.34%
